Leather Headgear : 1 暖かい毛皮, 1 鉄鉱石
Leather Vest : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Gloves : 2 暖かい毛皮
Leather Belt : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Pants : 2 暖かい毛皮
Piscine Mask : 2 ケルビの角, 2 イキツギ藻, 2 なぞの骨
Piscine Belt : 2 水生獣の皮, 2 欠けた貝殻
Piscine Leggings : 2 水生獣の皮, 1 大きなヒレ
Chainmail Headgear : 1 大地の結晶, 1 鉄鉱石
Chainmail Vest : 2 鉄鉱石, 1 暖かい毛皮
Chainmail Gloves : 1 鉄鉱石, 2 砥石
Chainmail Belt : 1 鉄鉱石, 2 暖かい毛皮
Chainmail Pants : 2 鉄鉱石, 2 暖かい毛皮
Loc Lac Shawl : 1 甲虫の腹袋, 3 モンスターの体液, 3 氷結晶
Loc Lac Kilt : 2 甲虫の腹袋, 2 甲虫の大顎, 3 氷結晶
Loc Lac Boots : 3 甲虫の大顎, 2 甲虫の腹袋, 3 氷結晶
Hunter's Helm : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Mail : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Vambraces : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Faulds : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Greaves : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Hunter's Cap : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Vest : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Guards : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Coat : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Leggings : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Yukumo Kasa : ※港店売り
Yukumo Dogi : ※港店売り
Yukumo Kote : ※港店売り
Yukumo Obi : ※港店売り
Yukumo Hakama : ※港店売り
Alloy Helm : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Mail : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Vambraces : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coil : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Greaves : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Alloy Cap : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Vest : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Guards : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coat : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Leggings : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Bone Helm : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Mail : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Vambraces : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Faulds : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Greaves : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bone Cap : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Vest : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Guards : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Coat : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Leggings : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bnahabra Hat : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 1 キラビートル, 2 セッチャクロアリ
Bnahabra Suit : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 2 モンスターの体液, 1 キラビートル
Bnahabra Glove : 3 飛甲虫の羽, 2 飛甲虫の甲殻, 5 飛甲虫の麻痺針, 2 キラビートル
Bnahabra Coil : 3 飛甲虫の羽, 2 飛甲虫の甲殻, 1 モンスターの体液, 2 キラビートル
Bnahabra Boots : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 2 キラビートル, 3 セッチャクロアリ
Bnahabra Cap : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 1 キラビートル, 2 セッチャクロアリ
Bnahabra Vest : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 2 モンスターの体液, 1 キラビートル
Bnahabra Cuffs : 3 飛甲虫の羽, 2 飛甲虫の甲殻, 5 飛甲虫の麻痺針, 2 キラビートル
Bnahabra Coat : 3 飛甲虫の羽, 2 飛甲虫の甲殻, 1 モンスターの体液, 2 キラビートル
Bnahabra Pants : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 2 キラビートル, 3 セッチャクロアリ
Rhenoplos Helm : 1 草食竜の頭殻, 2 草食竜の甲殻, 2 氷結晶
Rhenoplos Mail : 1 草食竜の頭殻, 2 草食竜の甲殻, 2 大地の結晶
Rhenoplos Vambraces : 2 草食竜の甲殻, 4 竜骨【中】, 2 氷結晶
Rhenoplos Coil : 2 草食竜の甲殻, 1 草食竜の頭殻, 2 大地の結晶
Rhenoplos Greaves : 2 草食竜の甲殻, 6 竜骨【小】, 2 氷結晶
Rhenoplos Cap : 1 草食竜の頭殻, 2 草食竜の甲殻, 2 氷結晶
Rhenoplos Vest : 1 草食竜の頭殻, 2 草食竜の甲殻, 2 大地の結晶
Rhenoplos Guards : 2 草食竜の甲殻, 4 竜骨【中】, 2 氷結晶
Rhenoplos Coat : 2 草食竜の甲殻, 1 草食竜の頭殻, 2 大地の結晶
Rhenoplos Leggings : 2 草食竜の甲殻, 6 竜骨【小】, 2 氷結晶
Jaggi Helm : 3 狗竜の皮, 1 狗竜の爪, 2 ジャギィの鱗, 3 鉄鉱石
Jaggi Mail : 1 王者のエリマキ, 2 狗竜の爪, 3 ジャギィの皮, 3 鉄鉱石
Jaggi Vambraces : 2 狗竜の爪, 3 狗竜の皮, 2 ジャギィの鱗, 2 大地の結晶
Jaggi Faulds : 2 狗竜の皮, 1 王者のエリマキ, 3 ジャギィの皮, 1 大地の結晶
Jaggi Greaves : 4 ジャギィの皮, 3 ジャギィの鱗, 4 竜骨【小】, 2 マカライト鉱石
Jaggi Cap : 3 狗竜の皮, 1 狗竜の爪, 2 ジャギィの鱗, 3 鉄鉱石
Jaggi Vest : 1 王者のエリマキ, 2 狗竜の爪, 3 ジャギィの皮, 3 鉄鉱石
Jaggi Guards : 2 狗竜の爪, 3 狗竜の皮, 2 ジャギィの鱗, 2 大地の結晶
Jaggi Coat : 2 狗竜の皮, 1 王者のエリマキ, 3 ジャギィの皮, 1 大地の結晶
Jaggi Leggings : 4 ジャギィの皮, 3 ジャギィの鱗, 4 竜骨【小】, 2 マカライト鉱石
Aoashira Helm : 2 青熊獣の甲殻, 2 青熊獣の毛, 2 大きな骨, 3 セッチャクロアリ
Aoashira Mail : 3 青熊獣の毛, 1 青熊獣の甲殻, 2 飛甲虫の甲殻, 3 光蟲
Aoashira Vambraces : 2 青熊獣の甲殻, 1 青熊獣の腕甲, 2 青熊獣の毛, 2 甲虫の腹袋
