  0: Yukumo Kasa     Yukumo Dogi     Yukumo Kote     Yukumo Obi     Yukumo Hakama
  1: Leather Headgear     Leather Vest     Leather Gloves     Leather Belt     Leather Pants
  2: Chainmail Headgear     Chainmail Vest     Chainmail Gloves     Chainmail Belt     Chainmail Pants
  3: Hunter's Helm     Loc Lac Shawl     Hunter's Vambraces     Loc Lac Kilt     Loc Lac Boots
  4: Hunter's Cap     Hunter's Mail     Hunter's Guards     Hunter's Faulds     Hunter's Greaves
  5: Bone Helm     Hunter's Vest     Bone Vambraces     Hunter's Coat     Hunter's Leggings
  6: Bone Cap     Bone Mail     Bone Guards     Bone Faulds     Bone Greaves
  7: Alloy Helm     Bone Vest     Alloy Vambraces     Bone Coat     Bone Leggings
  8: Alloy Cap     Alloy Mail     Alloy Guards     Alloy Coil     Alloy Greaves
  9: Bnahabra Hat     Alloy Vest     Bnahabra Glove     Alloy Coat     Alloy Leggings
 10: Bnahabra Cap     Bnahabra Suit     Bnahabra Cuffs     Bnahabra Coil     Bnahabra Boots
 11: Rhenoplos Helm     Bnahabra vest     Rhenoplos Vambraces     Bnahabra Coat     Bnahabra Leggings
 12: Rhenoplos Cap     Rhenoplos Mail     Rhenoplos Guards     Rhenoplos Coil     Rhenoplos Greaves
 13: Jaggi Helm     Rhenoplos Vest     Jaggi Vambraces     Rhenoplos Coat     Rhenoplos Leggings
 14: Jaggi Cap     Jaggi Mail     Jaggi Guards     Jaggi Faulds     Jaggi Greaves
 15: Qurupeco Helm     Jaggi Vest     Qurupeco Vambraces     Jaggi Coat     Jaggi Leggings
 16: Qurupeco Cap     Qurupeco Mail     Qurupeco Guards     Qurupeco Coil     Qurupeco Greaves
 17: Ludroth Helm     Qurupeco Vest     Ludroth Vambraces     Qurupeco Coat     Qurupeco Leggings
 18: Ludroth Cap     Ludroth Mail     Ludroth Guards     Ludroth Faulds     Ludroth Greaves
 19: Urkusus Helm     Ludroth Vest     Urkusus Vambraces     Ludroth Coat     Ludroth Leggings
 20: Urkusus Cap     Urkusus Mail     Urkusus Guards     Urkusus Faulds     Urkusus Greaves
 21: Froggi Helm     Urkusus Vest     Froggi Vambraces     Urkusus Coat     Urkusus Leggings
 22: Froggi Cap     Froggi Mail     Froggi Guards     Froggi Faulds     Froggi Greaves
 23: Aoashira Helm     Froggi Vest     Aoashira Vambraces     Froggi Coat     Froggi Leggings
 24: Aoashira Cap     Aoashira Mail     Aoashira Guards     Aoashira Faulds     Aoashira Greaves
 25: Barroth Helm     Aoashira Vest     Barroth Vambraces     Aoashira Coat     Aoashira Leggings
 26: Barroth Cap     Barroth Mail     Barroth Guards     Barroth Faulds     Barroth Greaves
 27: Ranguro Helm     Barroth Vest     Ranguro Vambraces     Barroth Coat     Barroth Leggings
 28: Ranguro Cap     Ranguro Mail     Ranguro Guards     Ranguro Faulds     Ranguro Greaves
 29: Baggi Helm     Ranguro Vest     Baggi Vambraces     Ranguro Coat     Ranguro Leggings
 30: Baggi Cap     Baggi Mail     Baggi Guards     Baggi Coil     Baggi Greaves
 31: Hapul Helm     Baggi Vest     Hapul Vambraces     Baggi Coat     Baggi Leggings
 32: Hapul Cap     Hapul Mail     Hapul Guards     Hapul Faulds     Hapul Greaves
 33: Rathian Helm     Hapul Vest     Rathian Vambraces     Hapul Coat     Hapul Leggings
 34: Rathian Cap     Rathian Mail     Rathian Guards     Rathian Faulds     Rathian Greaves
 35: Gigginox Helm     Rathian Vest     Gigginox Vambraces     Rathian Coat     Rathian Leggings
 36: Gigginox Cap     Gigginox Mail     Gigginox Guards     Gigginox Faulds     Gigginox Greaves
 37: Ingot Helm     Gigginox Vest     Steel Vambraces     Gigginox Coat     Gigginox Leggings
 38: Ingot Cap     Steel Mail     Ingot Vambraces     Steel Faulds     Ingot Greaves
 39: Yuami Headpiece     Ingot Mail     Ingot Guards     Ingot Coil     Ingot Leggings
 40: Zuwaroposu Hood     Ingot Vest     Yuami Wrist     Ingot Coat     Yuami Sandals
 41: Zuwaroposu Cap     Yuami Towel     Vaiku Vambraces     Vaiku Faulds     Vaiku Greaves
 42: Acorn Helm     Zuwaroposu Mantle     Vaiku Guards     Vaiku Coat     Vaiku Leggings
 43: Vaiku Helm     Zuwaroposu Vest     Pumpkin Vambraces     Pumpkin Faulds     Pumpkin Greaves
 44: Vaiku Cap     Acorn Mail     Pumpkin Guards     Pumpkin Coat     Pumpkin Leggings
 45: Pumpkin Helm     Vaiku Mail     Obituary Mano/Butterfly Mano     Obituary Anca/Butterfly Anca     Obituary Gamba/Butterfly Gamba
 46: Pumpkin Cap     Vaiku Vest     Obituary Brasso/Butterfly Brasso     Obituary Cocusa/Butterfly Cocusa     Obituary Femur/Butterfly Femur
 47: Obituary Testa/Butterfly Testa     Pumpkin Mail     Barioth Vambraces     Barioth Faulds     Barioth Greaves
 48: Obituary Caput/Butterfly Caput     Pumpkin Vest     Barioth Guards     Barioth Coat     Barioth Leggings
 49: Barioth Helm     Obituary Petto/Butterfly Petto     Guild Bard Braces/Scholar's Gloves     Guild Bard Coil/Scholar's Skirt     Guild Bard Boots/Scholar's Socks
 50: Barioth Cap     Obituary Pectus/Butterfly Pectus     Guild Bard Sleeves/Scholar's Sleeves     Guild Bard Coat/Scholar's Mini     Guild Bard Gaiters/Scholar's Sandals
 51: Guild Bard Lobos/Scholar's Beret     Barioth Mail     Ancient Vambraces     Nargacuga Faulds     Ancient Greaves
 52: Guild Bard Hat/Scholar's Cap     Barioth Vest     Ancient Guards     Nargacuga Coat     Ancient Leggings
 53: Nargacuga Helm     Guild Bard Bolero/Scholar's Blouse     Nargacuga Vambraces     Jinouga Faulds     Nargacuga Greaves
 54: Nargacuga Cap     Guild Bard Vest/Scholar's Vest     Nargacuga Guards     Jinouga Coat     Nargacuga Leggings
 55: Jinouga Helm     Ancient Mail     Jinouga Vambraces     Rathalos Faulds     Jinouga Greaves
 56: Jinouga Cap     Ancient Vest     Jinouga Guards     Rathalos Coat     Jinouga Leggings
