Antidote Jewel : 水光原珠 x1, フロギィの皮 x2
Antidote Jewel : 水光原珠 x1, 毒狗竜の腕甲 x2, 鳴き袋 x2
Paralysis Jewel : 水光原珠 x1, 飛甲虫の甲殻 x2
Paralysis Jewel : 陽翔原珠 x1, 赤甲獣の爪 x2, モンスターの体液 x2
Pep Jewel : 水光原珠 x1, バギィの皮 x2
Pep Jewel : 陽翔原珠 x1, 王者のトサカ x1, 暖かい毛皮 x2
Steadfast Jewel : 水光原珠 x1, 鳥竜種の牙 x3
Steadfast Jewel+ : 水光原珠 x1, 鳥竜種の牙 x3
AntiStick Jewel : 水光原珠 x1, 草食竜の甲殻 x2
AntiStick Jewel+ : 陽翔原珠 x1, 赤甲獣の蛇腹甲 x1, シーブライト鉱石 x2
Antisept Jewel : 水光原珠 x1, 水生獣の皮 x2
Antisept Jewel+ : 水光原珠 x1, 水生獣の皮 x2
Solid Jewel : 水光原珠 x1, 忍耐の種 x2, 増強剤 x2
Dung Jewel : 水光原珠 x1, こやし玉 x2
Germ Sci Jewel : 金剛原珠 x1, 赤甲獣の剛爪 x2
GermStudy Jewel : 金剛原珠 x1, 赤甲獣の剛爪 x4, 砕竜の重黒曜甲 x1
Attack Jewel : 水光原珠 x1, ジャギィの鱗 x2, 怪力の種 x1
Attack Jewel : 陽翔原珠 x1, 火竜の翼爪 x2, 鬼人薬 x1
Attack Jewel : 修羅原珠 x1, 氷牙竜の鋭爪 x1, 鬼人薬グレート x2
Defense Jewel : 水光原珠 x1, 青熊獣の甲殻 x1, 忍耐の種 x2
Defense Jewel : 陽翔原珠 x1, 爆鎚竜の甲殻 x2, 硬化薬 x2
Vitality Jewel : 水光原珠 x1, マンドラゴラ x2
Recovery Jewel : 水光原珠 x1, ジャギィの皮 x2
Recovery Jewel : 陽翔原珠 x1, 毒怪竜の皮 x1, アルビノエキス x2
Protection Jewel : 陽翔原珠 x1, 雌火竜の甲殻 x2
Asylum Jewel : 瑠璃原珠 x1, 桜火竜の堅殻 x2, 勇気の証 x1
Sheathe Jewel : 陽翔原珠 x1, うなりうねり貝 x1, 甲虫の腹袋 x1
Sheathe Jewel : 修羅原珠 x1, 角竜の堅殻 x1, 上質な腹袋 x2
Charger Jewel : 陽翔原珠 x1, 潜口竜の爪 x1, 土砂竜の背甲 x2
Charger Jewel : 瑠璃原珠 x1, 峯山龍の堅岩殻 x1, 風牙竜の堅殻 x2
Expert Jewel : 水光原珠 x1, とがった牙 x2, 鉄鉱石 x1
Expert Jewel : 陽翔原珠 x1, 火竜の尻尾 x1, 眠狗竜の爪 x2
Expert Jewel : 瑠璃原珠 x1, 白海竜の上皮 x1, 潜口竜の堅殻 x2
Blow Jewel : 陽翔原珠 x1, 火竜の翼膜 x1, 雌火竜の棘 x1
Blow Jewel : 瑠璃原珠 x1, 恐暴竜の大牙 x1, 火竜の紅玉 x1
Bash Jewel : 陽翔原珠 x1, 尾槌竜のコブ x1, 尾槌竜の甲殻 x2
Bash Jewel : 瑠璃原珠 x1, 峯山龍の上腕甲 x1, 雌火竜の紅玉 x1
KO Jewel : 陽翔原珠 x1, 上竜骨 x2, 草食竜の頭殻 x1
KO Jewel : 陽翔原珠 x1, 角竜の背甲 x2, ハナスズムシ x2
Exhaust Jewel : 陽翔原珠 x1, 土砂竜の爪 x1, 竜骨【中】 x1
Exhaust Jewel : 瑠璃原珠 x1, 迅竜の尾棘 x2, 水竜のコイン x1
Physique Jewel : 陽翔原珠 x1, 王者のクチバシ x1, フロギィの鱗 x2
Physique Jewel : 瑠璃原珠 x1, 炎戈竜の上ヒレ x1, 毒狗竜の上皮 x2
Earplug Jewel : 陽翔原珠 x1, 雌火竜の翼膜 x1, 白兎獣の耳 x2
Earplug Jewel : 瑠璃原珠 x1, 雷狼竜の堅殻 x2, 不気味な上皮 x2
Anti-Wind Jewel : 陽翔原珠 x1, 角竜の甲殻 x1, ドラグライト鉱石 x2
Anti-Wind Jewel : 修羅原珠 x1, 群青色の鋭牙 x1, カブレライト鉱石 x3
Footing Jewel : 水光原珠 x1, 肥沃なドロ x1
Footing Jewel+ : 水光原珠 x1, 肥沃なドロ x1
Breeze Jewel : 水光原珠 x1, 氷結晶 x3
Warmth Jewel : 水光原珠 x1, バギィの鱗 x2
Sprinter Jewel : 陽翔原珠 x1, 水獣の爪 x1, 強走薬グレート x2
Sprinter Jewel : 瑠璃原珠 x1, 砕竜の堅殻 x1, 海綿質の上皮 x2
Stamina Jewel : 陽翔原珠 x1, 雌火竜の鱗 x1, 竜骨【中】 x2
Stamina Jewel : 修羅原珠 x1, 迅竜の鋭牙 x1, 尖竜骨 x2
